dataset	method	module	n_control	n_tumor	mean_control	mean_tumor	logFC	p	auc	fdr
GSE62165	gsva_ssgsea	t_cell	13	118	-0.0829573650615572	0.0430766479223723	0.1260340129839295	0.0003702449633679158	0.8018252933507171	0.0009807173322190009
GSE62165	gsva_ssgsea	b_cell	13	118	-0.2365586821118704	-0.1714427427586703	0.0651159393532	0.0104773999368741	0.7170795306388527	0.0193428921911522
GSE62165	gsva_ssgsea	endothelial	13	118	0.1353435857341519	0.1350406962425314	-0.00030288949162043943	0.9907867544369782	0.5013037809647979	1.0
GSE62165	gsva_ssgsea	ductal_epithelial	13	118	0.5077781038780123	0.5373170204003975	0.0295389165223852	5.22292321719021e-05	0.8428943937418514	0.00022790937675011823
GSE62165	gsva_ssgsea	acinar_normal	13	118	0.6062247697536458	0.3662784789262807	-0.2399462908273651	9.09858643888281e-09	0.0130378096479791	1.0918303726659373e-07
GSE62165	gsva_ssgsea	endocrine_normal	13	118	0.4508150326574295	0.3005838217008958	-0.1502312109565337	0.0013808931776084	0.2288135593220339	0.0033141436262602
GSE62165	marker_zscore	caf_fibroblast	13	118	-1.958317780217332	0.21574687409174	2.1740646543090723	5.0109842272014706e-09	0.9954367666232072	6.872206940162015e-08
GSE62165	marker_zscore	immune_myeloid	13	118	-1.4277112394157991	0.1572902212915711	1.5850014607073704	6.807618866404592e-06	0.8813559322033898	3.844302418675535e-05
GSE62165	marker_zscore	t_cell	13	118	-0.534069845828921	0.0588382033540338	0.5929080491829548	0.004237838709843	0.742503259452412	0.0092461935487483
GSE62165	marker_zscore	b_cell	13	118	0.0527855893908593	-0.0058153615430607	-0.05860095093392	0.9969288574787192	0.499348109517601	1.0
GSE62165	marker_zscore	endothelial	13	118	0.0791663195665004	-0.0087217131725802	-0.0878880327390807	0.6140968272546138	0.4569752281616688	0.7626650694503865
GSE62165	marker_zscore	ductal_epithelial	13	118	-0.6383783452822038	0.0703298177005815	0.7087081629827854	3.064864325846166e-05	0.8533246414602347	0.00014711348764061597
GSE62165	marker_zscore	acinar_normal	13	118	1.0722707387002803	-0.1181315220602003	-1.1904022607604807	1.3070240402750036e-08	0.0182529335071707	1.394158976293337e-07
GSE62165	marker_zscore	endocrine_normal	13	118	0.536214247172479	-0.0590744509596798	-0.5952886981321588	0.0051371225142201	0.2627118644067797	0.0102742450284403
GSE16515	gsva_ssgsea	caf_fibroblast	16	36	0.4426619405859843	0.5328508352177411	0.0901888946317567	0.0167001091949667	0.7083333333333334	0.029149281503942
GSE16515	gsva_ssgsea	immune_myeloid	16	36	0.4097625959606299	0.476816605382294	0.0670540094216641	0.449261338387291	0.5677083333333334	0.5828255200699991
GSE16515	gsva_ssgsea	t_cell	16	36	0.172587175429892	0.2580622588342522	0.0854750834043602	0.5757541958013312	0.5503472222222222	0.736965370625704
